,id,study.name,effect.key,b,s,n,specialty,outcome.group,outcome.flag,outcome.nr,comparison.nr,RCT,study.year,outcome_name,comparison_name,z,gemini-1.5-flash,human_response,gold_answer_GPT4,llama3-8b-8192,llama_8b_acc,llama3-70b-8192,llama_70b_acc,mixtral-8x7b-32768,mixtral_8x7b_acc,MV,MV_acc,gemini-1.5-pro,gpt4_acc,gemini_1.5flash_acc,gemini_1.5pro_acc,gemini_1.5flash_acc_clean,gemini_1.5pro_acc_clean,gemma_7b_it_acc_clean,gemma_7b_it_acc
26,CD003085,Li 2012,STD-Li-2012 0.633 0.231 94 92,-0.651541179727481,0.325571157137209,186,Neurology,efficacy,DICH,1,3,no,2012.0,DCI at 2–3 months,Delayed cerebral ischaemia (DCI),-2.0012251252739,"negative 
",negative,,,,,,,,,,,,,,,,,
27,CD000975,Brachman 1962,STD-Brachman-1962 0.183 0.505 379 414,-2.65398297983193,1.03528664387035,793,Infectious Diseases,efficacy,DICH,1,1,no,1962.0,Cases of anthrax,Any vaccine compared with placebo/control,-2.56352479339461,"negative 
",negative,,,,,,,,,,,,,,,,,
28,CD007677,Alborzi 2007,STD-Alborzi-2007 1.062 0.407 61 60,0.0606246218164348,0.408384714290717,121,Gynaecology & Urology,efficacy,DICH,1,2,yes,2007.0,Clinical pregnancy per woman randomised,Secondary outcomes,0.148449782019211,"positive 
",positive,,,,,,,,,,,,,,,,,
29,CD001773,Micic 1988,STD-Micic-1988 32.882 1.522 21 14,3.49293612909888,1.52249953713512,35,Oncology,efficacy,DICH,1,1,no,1988.0,Clinical improvement of RT cystitis with placental extract,The effect of placental extract on late radiation cystitis,2.29421161971026,"positive 
",positive,,,,,,,,,,,,,,,,,
30,CD001957,Ferley 1989,STD-Ferley-1989 1.668 0.242 228 234,0.590868331439527,0.278137739907051,462,Lungs,efficacy,DICH,1,2,no,1989.0,Absence of symptoms at 48 hours - patient assessment,Treatment: Oscillococcinum versus placebo,2.12437309527641,"positive 
",positive,,,,,,,,,,,,,,,,,
31,CD009278,MRC 1955,STD-MRC-1955 0.947 0.553 76 72,-0.0588405000229332,0.602304377180311,148,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1955.0,Miscarriage,Combined oestrogen and progestogen (other than progesterone) versus placebo,-0.0976923001927947,"negative 
",negative,,,,,,,,,,,,,,,,,
32,CD008666,Kirkwood 2010,STD-Kirkwood-2010 1.006 0.03 38283 37893,0.0062985629214469,0.0317493119386116,76176,Pregnancy & Childbirth,efficacy,DICH,1,4,no,2010.0,Perinatal mortality (infant mortality level),Vitamin A alone versus placebo or no treatment (subgroups),0.198384233763096,"negative 
",negative,,,,,,,,,,,,,,,,,
33,CD004776,Grossman 2003,STD-Grossman-2003 1.092 0.993 130 142,0.0896121586896879,1.00744992785888,272,Infectious Diseases,efficacy,DICH,1,2,no,2003.0,Death,Epoetin once-weekly versus Epoetin three times-weekly,0.0889494913957061,"negative 
",negative,,,,,,,,,,,,,,,,,
34,CD000244,Boxma 1996,STD-Boxma-1996 0.321 0.316 1105 1090,-1.16315080980568,0.322166430267352,2195,Emergency & Trauma,efficacy,DICH,1,2,yes,1996.0,Deep surgical site infection,Antibiotic agent (single dose) versus placebo or no treatment,-3.61040350740588,"negative 
",negative,,,,,,,,,,,,,,,,,
35,CD010134,Hallstrom 2000,STD-Hallstrom-2000 1.398 0.235 240 278,0.382495148829239,0.268231803165908,518,Emergency & Trauma,efficacy,DICH,1,1,yes,2000.0,Survival to hospital discharge,Bystander-provided CPR,1.42598731513078,"positive 
",positive,,,,,,,,,,,,,,,,,
36,CD003642,Zhang J 2003,STD-Zhang-J-2003 3 0.394 30 30,1.79175946922805,0.58925565098879,60,Genetics & Endocrinology,efficacy,DICH,1,4,no,2003.0,Normalisation of fasting blood glucose levels (< 7.2 mmol/L),Herbal medicine plus dietary and lifestyle modification versus dietary and lifestyle modification,3.04071665027128,"positive 
",positive,,,,,,,,,,,,,,,,,
37,CD003431,Jonas 2001,STD-Jonas-2001 3.148 0.59 24 26,1.14681439048599,0.589671449453553,50,Gastroenterology,efficacy,DICH,1,11,yes,2001.0,NON - Healing (persistence & recurrence),Diltiazem Oral versus Topical,1.94483621608056,"negative 
",negative,,,,,,,,,,,,,,,,,
38,CD009391,Gianaroli 1996b,STD-Gianaroli-1996b 2.663 0.454 85 82,0.979407788664349,0.454198863508482,167,Gynaecology & Urology,efficacy,DICH,1,1,yes,1996.0,Ongoing pregnancy per randomized woman,Brief co-incubation versus standard insemination,2.15634134594451,"positive 
",positive,,,,,,,,,,,,,,,,,
39,CD004982,Marchiori 2002,STD-Marchiori-2002 0.167 1.049 30 30,-1.98100146886658,1.114816618083,60,Heart & Hypertension,efficacy,DICH,1,17,yes,2002.0,Incidence of venous thromboembolism,High-dose unfractionated heparin (UFH) versus low-dose UFH,-1.77697518742862,"negative 
",negative,,,,,,,,,,,,,,,,,
40,CD004421,ADEBAR,STD-ADEBAR 0.725 0.187 661 645,-0.321197217064285,0.186967690535997,1306,Oncology,efficacy,DICH,1,11,yes,2005.0,Febrile neutropenia by sequential or concurrent anthracycline/taxane,Toxicities,-1.71792899694851,"negative 
",negative,,,,,,,,,,,,,,,,,
41,CD008983,Natori 2017,STD-Natori-2017 0.543 1.202 35 38,-0.635988766719997,1.24787400905847,73,Oncology,efficacy,DICH,1,2,yes,2017.0,All-cause mortality,Adjuvanted vaccine versus non-adjuvanted vaccine,-0.50965783572963,"negative 
",negative,,,,,,,,,,,,,,,,,
42,CD002977,Rego 2002,STD-Rego-2002 0.418 0.322 50 46,-1.29928298413026,0.460566186471838,96,Neonatal,efficacy,DICH,1,7,no,2002.0,Nasal hyperaemia,Hudson prong (short binasal) vs Argyle prong (short binasal) CPAP in preterm infants: broad inclusion criteria,-2.82105595741494,"negative 
",negative,,,,,,,,,,,,,,,,,
43,CD003999,Durmaz 2019,STD-Durmaz-2019 1.714 0.263 44 88,0.792445401542226,0.39567854979828,132,Psychiatry & Mental Health,efficacy,DICH,1,9,yes,2019.0,"Behavioural interventions, cessation at longest follow-up","Interventions for smokers, tests of adjuncts to cessation programmes",2.00275046991104,"positive 
",positive,,,,,,,,,,,,,,,,,
44,CD008541,Brandes 2007 Study 1,STD-Brandes-2007-Study-1 3.746 0.181 364 360,1.64530279480156,0.213413295501886,724,Anaesthesia & Pain,efficacy,DICH,1,1,no,2007.0,Pain-free at 2 h,Sumatriptan plus naproxen versus placebo,7.70946716760212,"positive 
",positive,,,,,,,,,,,,,,,,,
45,CD010777,Hong 2012,STD-Hong-2012 0.25 1.092 35 35,-1.47866768125091,1.14528155019716,70,Kidney & Transplant,efficacy,DICH,1,3,yes,2012.0,Need for dialysis,Need for dialysis,-1.29109534768665,"negative 
",negative,,,,,,,,,,,,,,,,,
46,CD004116,Bensoussan 1998,STD-Bensoussan-1998 1.507 0.303 38 35,0.674798041891749,0.487987000986003,73,Gastroenterology,efficacy,DICH,1,1,yes,1998.0,Global improvement of symptoms rated by patient,Herbal medicine versus placebo,1.38281970734525,"neutral 
",neutral,,,,,,,,,,,,,,,,,
47,CD000410,McFaul 1989a,STD-McFaul-1989a 2.484 0.751 19 20,0.961411167154625,0.797337197385674,39,Gynaecology & Urology,efficacy,DICH,1,3,no,1989.0,pregnancy rate (per cycle),Gonadotrophin administration modalities,1.20577739293604,"positive 
",positive,,,,,,,,,,,,,,,,,
48,CD003347,Buchali 1988,STD-Buchali-1988 0.737 0.368 19 22,-0.538996500732687,0.638755554190066,41,Anaesthesia & Pain,efficacy,DICH,1,1,no,1988.0,Pain relief,Radioisotopes versus placebo (data as published),-0.843822800752203,"positive 
",positive,,,,,,,,,,,,,,,,,
49,CD009889,Ansari 2003,STD-Ansari-2003 0.869 0.213 54 51,-0.259272275402715,0.392680358366996,105,Heart & Hypertension,efficacy,DICH,1,1,yes,2003.0,All-cause hospital admissions,Nurse-led titration versus usual care,-0.660262908185495,"negative 
",negative,,,,,,,,,,,,,,,,,
50,CD005536,Zar 2007,STD-Zar-2007 1 0.238 200 200,0.0,0.280056016805602,400,Lungs,efficacy,DICH,1,1,yes,2007.0,Hospital admission,Home-made spacers versus commercial spacers,0.0,"negative 
",negative,,,,,,,,,,,,,,,,,
51,CD000218,Chung 1978,STD-Chung-1978 2.129 1.609 30 21,0.782274960455953,1.65743072243107,51,Infectious Diseases,efficacy,DICH,1,4,no,1978.0,No parasitological cure (2 weeks),Oral versus oral plus intravaginal,0.47198048755156,"negative 
",negative,,,,,,,,,,,,,,,,,
52,CD005230,Zhu 2005,STD-Zhu-2005 0.609 0.244 36 36,-1.02252998221067,0.487118522205591,72,Gynaecology & Urology,efficacy,DICH,1,7,yes,2005.0,NOT CURED:  number of children not achieving 14 consecutive dry nights during treatment,Medicinal herbs vs other treatments,-2.09914001541314,"negative 
",negative,,,,,,,,,,,,,,,,,
53,CD006567,Ben-Rafael 1995,STD-Ben_x002d_Rafael-1995 0.982 0.304 101 110,-0.0183973651397161,0.304043023814215,211,Gynaecology & Urology,efficacy,DICH,1,2,no,1995.0,Clinical pregnancy rate per randomised woman,Fibrin sealant versus usual care,-0.0605090848950303,"positive 
",positive,,,,,,,,,,,,,,,,,
54,CD008591,Lam 2006,STD-Lam-2006 1 0.144 48 48,0.0,0.433012701892219,96,Psychiatry & Mental Health,efficacy,DICH,1,2,yes,2006.0,Response (> 50% improvement on 24-item HAM-D SIGH-SAD),Fluoxetine versus Light Therapy,0.0,"positive 
",positive,,,,,,,,,,,,,,,,,
55,CD009526,Ashrafinia 2009,STD-Ashrafinia-2009 0.554 0.365 63 63,-0.590780915031412,0.365175100291783,126,Gynaecology & Urology,efficacy,DICH,1,1,yes,2009.0,Menstrual regularity,LOD vs medical interventions,-1.61780174650288,"neutral 
",neutral,,,,,,,,,,,,,,,,,
56,CD009820,New Hope 1999,STD-New-Hope-1999 1.094 0.029 289 301,0.889096528854976,0.288016676534541,590,Public Health & Work,efficacy,DICH,1,22,yes,1999.0,Respondent has health insurance (%),Time point 1 Health insurance,3.08696197578805,"neutral 
",neutral,,,,,,,,,,,,,,,,,
57,CD003137,Bjermer 2003,STD-Bjermer-2003 0.912 0.123 743 747,-0.10892309664344,0.144853452934239,1490,Lungs,efficacy,DICH,1,1,no,2003.0,Participants with one or more exacerbations requiring systemic corticosteroids,Long-acting ß2-agonists + ICS versus leukotriene receptor antagonists + ICS,-0.751953746610993,"negative 
",negative,,,,,,,,,,,,,,,,,
58,CD002938,Zeegers 1995,STD-Zeegers-1995 0.667 0.495 62 62,-0.460524885291192,0.560805532393558,124,Emergency & Trauma,efficacy,DICH,1,2,no,1995.0,Numbers not returning to work,Elastic bandage versus Semi-rigid ankle support,-0.821184632978991,"negative 
",negative,,,,,,,,,,,,,,,,,
59,CD000511,Dunn 1991,STD-Dunn-1991 0.153 0.594 62 60,-2.20979206769974,0.653685175543636,122,Neonatal,efficacy,DICH,1,1,yes,1991.0,Effect on pneumothorax,Animal derived surfactant extract vs. control,-3.38051427564037,"negative 
",negative,,,,,,,,,,,,,,,,,
60,CD008735,Bezerra 2014,STD-Bezerra-2014 1 0.986 70 70,0.0,1.01459931239178,140,Hepato-Biliary,efficacy,DICH,1,1,yes,2014.0,All-cause mortality,Primary outcomes,0.0,"negative 
",negative,,,,,,,,,,,,,,,,,
61,CD002000,BAESIC study,STD-BAESIC-study 13.39 1.518 24 30,2.59452637480522,1.51782396715594,54,Heart & Hypertension,efficacy,DICH,1,1,yes,2004.0,Early postoperative non-thrombotic complications - by symptoms at time of intervention,Bypass surgery compared with angioplasty (PTA),1.70937238503802,"negative 
",negative,,,,,,,,,,,,,,,,,
62,CD000370,Farrell 1998,STD-Farrell-1998 1.121 0.127 538 533,0.114081455068927,0.126939640858045,1071,Hepato-Biliary,efficacy,DICH,1,6,yes,1998.0,Biochemical ETR,Effect of different formulations of interferon,0.898706300867057,"neutral 
",neutral,,,,,,,,,,,,,,,,,
63,CD005067,Layegh 2007,STD-Layegh-2007 0.6 0.618 29 58,-0.590868331439527,0.701874778809016,87,Skin & Wounds,efficacy,DICH,1,35,no,2007.0,Lesions cured,Azythromicin (500 mg/d for 5 d/month up to 4 months) versus IMMA (60 mg/kg/d for 20 d),-0.8418429458915,"positive 
",positive,,,,,,,,,,,,,,,,,
64,CD001256,Andrish 1974,STD-Andrish-1974 1.509 0.295 344 1453,0.426376783906284,0.306959967057319,1797,Emergency & Trauma,efficacy,DICH,1,10,yes,1974.0,Lower limb soft-tissue injuries by location,Insoles vs control (no insoles),1.38903058921252,"negative 
",negative,,,,,,,,,,,,,,,,,
65,CD004104,Avdeev 1998,STD-Avdeev-1998 0.333 0.613 29 29,-1.3609765531356,0.730004097869308,58,Lungs,efficacy,DICH,1,1,no,1998.0,Mortality,NIV vs usual care - Overall,-1.86434097713689,"negative 
",negative,,,,,,,,,,,,,,,,,
66,CD007458,Koury 2005,STD-Koury-2005 1.1 0.039 143 148,1.02616858802343,0.43347487905816,291,Public Health & Work,efficacy,DICH,1,2,yes,2005.0,Attendance rate at healthcare appointments,Mobile phone message text reminders plus postal reminders vs postal reminders,2.36730809003984,"neutral 
",neutral,,,,,,,,,,,,,,,,,
67,CD003004,Moppett 2014,STD-Moppett-2014 0.082 1.449 51 63,-2.61539137061951,1.47324469254287,114,Anaesthesia & Pain,efficacy,DICH,1,2,yes,2014.0,All-cause mortality,Advanced haemodynamic monitoring versus usual care,-1.77525931968928,"negative 
",negative,,,,,,,,,,,,,,,,,
68,CD001758,Solomon 2002,STD-Solomon-2002 0.301 1.664 20 19,-1.20126644272819,1.66418184358729,39,Gynaecology & Urology,efficacy,DICH,1,6,yes,2002.0,Number of patients with recurrent full-thickness prolapse,Laparoscopic versus open procedure,-0.721836046557723,"negative 
",negative,,,,,,,,,,,,,,,,,
69,CD001350,Huang 2005,STD-Huang-2005 1.222 1.484 10 12,0.200670695462152,1.48392055111458,22,Spine & Muscles,efficacy,DICH,1,23,no,2005.0,Unsatisfied - patient rating,MICROENDOSCOPIC DISCECTOMY V. OPEN DISCECTOMY,0.135230080418677,"negative 
",negative,,,,,,,,,,,,,,,,,
70,CD010747,Gu 2008,STD-Gu-2008 0.353 1.104 17 18,-1.16315080980568,1.20933866224478,35,Heart & Hypertension,efficacy,DICH,1,4,no,2008.0,Amputation rate,Route of injection: IM injection vs IA injection,-0.961807346543137,"negative 
",negative,,,,,,,,,,,,,,,,,
71,CD001245,Hillman 2002,STD-Hillman-2002 0.855 0.146 254 251,-0.216056349431155,0.200128431069588,505,Neurology,efficacy,DICH,1,1,no,2002.0,"Poor outcome (death, vegetative or severe disability on Glasgow Outcome Scale at end of follow-up): open versus blind studies",Antifibrinolytic treatment versus control treatment with or without placebo,-1.07958848363743,"negative 
",negative,,,,,,,,,,,,,,,,,
72,CD007876,Campo 2010,STD-Campo-2010 1.032 0.345 85 87,0.0317486983145803,0.344543979772097,172,Gynaecology & Urology,efficacy,DICH,1,1,no,2010.0,Cleavage-stage embryo transfer,Live birth or ongoing pregnancy per woman randomised,0.0921470122205615,"neutral 
",neutral,,,,,,,,,,,,,,,,,
73,CD004087,Chraemmer-Jorgensen 1992,STD-Chraemmer_x002d_Jorgensen-1992 0.307 1.683 12 12,-1.18199389760716,1.68333692064476,24,Anaesthesia & Pain,efficacy,DICH,1,2,no,1992.0,Myocardial ischaemia - by drug type,ECG evidence of myocardial ischaemia,-0.702173096253616,"negative 
",negative,,,,,,,,,,,,,,,,,
74,CD001350,Haines 2002,STD-Haines-2002 0.952 0.812 17 10,-0.0487901641694318,0.812110712602543,27,Spine & Muscles,efficacy,DICH,1,12,no,2002.0,Poor result at 6 mos to 2 yrs - pt rated,PERCUTANEOUS ENDOSCOPIC DISCECTOMY (ANY TYPE) V. MICRODISCECTOMY,-0.0600782176768432,"negative 
",negative,,,,,,,,,,,,,,,,,
75,CD007807,Agrawal 2012,STD-Agrawal-2012 4.5 0.574 30 28,1.50407739677627,0.573903371104474,58,Gynaecology & Urology,efficacy,DICH,1,1,no,2012.0,Live birth; antioxidants vs placebo or no treatment/standard treatment (natural conceptions and undergoing fertility treatments),Antioxidant(s) versus placebo or no treatment/standard treatment,2.62078508770856,"positive 
",positive,,,,,,,,,,,,,,,,,
76,CD005067,Stahl 2014,STD-Stahl-2014 1.146 0.089 23 23,2.08248568406106,1.54176780515372,46,Skin & Wounds,efficacy,DICH,1,76,no,2014.0,Participants complete cure,DAC-055 + MWT (for 15 min) versus DAC-055 alone for up to 75 d,1.35071291351387,"positive 
",positive,,,,,,,,,,,,,,,,,
77,CD004912,McGready 2005,STD-McGready-2005 0.239 0.442 39 41,-2.06352608637394,0.572274312814926,80,Infectious Diseases,efficacy,DICH,1,1,yes,2005.0,Treatment failure at day 63,Artesunate plus atovaquone-proguanil (AS+AP) vs quinine (QN),-3.60583384605152,"negative 
",negative,,,,,,,,,,,,,,,,,
78,CD006359,El-Toukhy 2004,STD-El_x002d_Toukhy-2004 2.618 0.404 117 117,0.962443175127006,0.404304777531047,234,Gynaecology & Urology,efficacy,DICH,1,1,no,2004.0,Live-Birth Rate,GnRH agonists versus control,2.38048924626695,"positive 
",positive,,,,,,,,,,,,,,,,,
79,CD009144,Guañabens 2003,STD-Gua_x00f1_abens-2003 0.333 1.597 16 16,-1.16113264564944,1.67086470317168,32,Hepato-Biliary,efficacy,DICH,1,2,yes,2003.0,All-cause mortality,Bisphosphonates vs another bisphosphonate (alendronate vs etidronate or ibandronate),-0.694929184538611,"negative 
",negative,,,,,,,,,,,,,,,,,
80,CD010085,Makrides 2010,STD-Makrides-2010 0.684 0.221 368 338,-0.42560001651722,0.246722181690568,706,Pregnancy & Childbirth,efficacy,DICH,1,1,yes,2010.0,Any allergies (with sensitisation): medically diagnosed IgE mediated,n-3 LCPUFA supplementation versus placebo or no supplementation - any allergy,-1.72501723842162,"negative 
",negative,,,,,,,,,,,,,,,,,
81,CD007342,Gonsalez 1998,STD-Gonsalez-1998 1.357 0.487 40 42,0.305204423143983,0.486957153541596,82,Hepato-Biliary,efficacy,DICH,1,2,no,1988.0,Laboratory identified infection,Post-exposure prophylaxis with doxycycline,0.626758270053655,"negative 
",negative,,,,,,,,,,,,,,,,,
82,CD000217,Bassily 1970,STD-Bassily-1970 413.727 1.5 60 20,6.02520699521827,1.49953882498623,80,Infectious Diseases,efficacy,DICH,1,1,no,1970.0,parasitological cure,ANY DRUG THERAPY VERSUS PLACEBO,4.01804000991679,"positive 
",positive,,,,,,,,,,,,,,,,,
83,CD011571,Caca-Biljanovska 2002,STD-Caca_x002d_Biljanovska-2002 2 0.548 10 10,1.25276296849537,0.944911182523068,20,Skin & Wounds,efficacy,DICH,1,1,no,2002.0,Proportion of participants achieving clear or almost clear skin (PASI 90 or 100 or PGA 0 or 1),Penicillin versus no treatment in guttate psoriasis,1.32579970653992,"positive 
",positive,,,,,,,,,,,,,,,,,
