index,id,study.name,specialty,outcome_name,comparison_name,microsoft/Phi-3.5-mini-instruct_probs,label,question,question_id,status,user_id
30,CD000016,Brazil 1983-84,Infectious Diseases,Parasitological conversion,Amodiaquine vs chloroquine in symptomatic participants,0.8935026872565591,,"In a medical study on 'Amodiaquine vs chloroquine in symptomatic participants', the outcome is 'Parasitological conversion'. Is this considered a positive or negative health outcome?",Q30,available,empty
31,CD000016,Cameroon-Centre 1994,Infectious Diseases,Parasitological conversion on day 7,Amodiaquine vs chloroquine in asymptomatic participants,0.4786503648256666,,"In a medical study on 'Amodiaquine vs chloroquine in asymptomatic participants', the outcome is 'Parasitological conversion on day 7'. Is this considered a positive or negative health outcome?",Q31,available,empty
32,CD000016,Cameroon-Hévécam2001,Infectious Diseases,Parasitological conversion,Amodiaquine vs sulphadoxine-pyrimethamine in symptomatic participants,0.5937220808548974,,"In a medical study on 'Amodiaquine vs sulphadoxine-pyrimethamine in symptomatic participants', the outcome is 'Parasitological conversion'. Is this considered a positive or negative health outcome?",Q32,in-progress,empty
33,CD000018,Amoroso 1998,Emergency & Trauma,Ankle sprain by intervention type,Any intervention v no intervention/control,0.9431169023612914,,"In a medical study on 'Any intervention v no intervention/control', the outcome is 'Ankle sprain by intervention type'. Is this considered a positive or negative health outcome?",Q33,available,empty
34,CD000018,Holme 1999,Emergency & Trauma,Re-injury (recurrent ankle sprain),Rehabilitation: supervised programme (emphasis on balance training) v control,0.9940818026262608,,"In a medical study on 'Rehabilitation: supervised programme (emphasis on balance training) v control', the outcome is 'Re-injury (recurrent ankle sprain)'. Is this considered a positive or negative health outcome?",Q34,available,empty
35,CD000018,Simon 1969,Emergency & Trauma,Ankle injury,Adhesive tape v cloth wrap,0.9685825818305032,,"In a medical study on 'Adhesive tape v cloth wrap', the outcome is 'Ankle injury'. Is this considered a positive or negative health outcome?",Q35,available,empty
36,CD000018,Wester 1996,Emergency & Trauma,Recurrent ankle sprain,Rehabilitation: wobble board (ankle disk) exercises v control,0.9924171010213212,,"In a medical study on 'Rehabilitation: wobble board (ankle disk) exercises v control', the outcome is 'Recurrent ankle sprain'. Is this considered a positive or negative health outcome?",Q36,available,empty
37,CD000019,ACTOBAT 1995,Pregnancy & Childbirth,Death prior to hospital discharge,TRH + steroids versus steroids alone (intention-to-treat),0.9875478857804324,,"In a medical study on 'TRH + steroids versus steroids alone (intention-to-treat)', the outcome is 'Death prior to hospital discharge'. Is this considered a positive or negative health outcome?",Q37,available,empty
38,CD000019,Ballard 1992b,Pregnancy & Childbirth,Death prior to hospital discharge,TRH + steroids versus steroids alone (timing of delivery subgroups),0.9796406478147958,,"In a medical study on 'TRH + steroids versus steroids alone (timing of delivery subgroups)', the outcome is 'Death prior to hospital discharge'. Is this considered a positive or negative health outcome?",Q38,available,empty
39,CD000019,Campos 1993,Pregnancy & Childbirth,Death prior to hospital discharge,TRH + steroids versus steroids alone (optimally treated variously defined),0.9830736776152604,,"In a medical study on 'TRH + steroids versus steroids alone (optimally treated variously defined)', the outcome is 'Death prior to hospital discharge'. Is this considered a positive or negative health outcome?",Q39,available,empty
40,CD000020,Huchet 1987,Pregnancy & Childbirth,Incidence of Rhesus D alloimmunisation during pregnancy,Anti-D administration in pregnancy,0.8386611102591494,,"In a medical study on 'Anti-D administration in pregnancy', the outcome is 'Incidence of Rhesus D alloimmunisation during pregnancy'. Is this considered a positive or negative health outcome?",Q40,available,empty
41,CD000021,International 1966,Pregnancy & Childbirth,Immunisation after 6 months,"Anti-D prophylaxis postpartum (overall, irrespective of ABO status)",0.9837096911795804,,"In a medical study on 'Anti-D prophylaxis postpartum (overall, irrespective of ABO status)', the outcome is 'Immunisation after 6 months'. Is this considered a positive or negative health outcome?",Q41,available,empty
42,CD000021,MRC 1974,Pregnancy & Childbirth,Immunisation after 6 months,"Dosage comparison, up to 50 ug versus more than 50 ug anti-D",0.9943888905793724,,"In a medical study on 'Dosage comparison, up to 50 ug versus more than 50 ug anti-D', the outcome is 'Immunisation after 6 months'. Is this considered a positive or negative health outcome?",Q42,available,empty
43,CD000022,Abele-Horn 1997,Lungs,Overall mortality,Topical plus systemic versus no prophylaxis,0.6859986817753692,,"In a medical study on 'Topical plus systemic versus no prophylaxis', the outcome is 'Overall mortality'. Is this considered a positive or negative health outcome?",Q43,available,empty
44,CD000022,Bergmans 2001,Lungs,Overall mortality,Topical versus control,0.8353131469518369,,"In a medical study on 'Topical versus control', the outcome is 'Overall mortality'. Is this considered a positive or negative health outcome?",Q44,available,empty
45,CD000023,Brink 1951,Lungs,Symptom of sore throat on day 3,Antibiotics versus placebo for the treatment of sore throats: symptom of sore throat,0.8818325927911468,,"In a medical study on 'Antibiotics versus placebo for the treatment of sore throats: symptom of sore throat', the outcome is 'Symptom of sore throat on day 3'. Is this considered a positive or negative health outcome?",Q45,available,empty
46,CD000023,Catanzaro 1954,Lungs,Incidence of acute rheumatic fever within 2 months. Rheumatic fever defined by clinical diagnosis,Antibiotics versus placebo for the treatment of sore throat: incidence of complications,0.9282993793154802,,"In a medical study on 'Antibiotics versus placebo for the treatment of sore throat: incidence of complications', the outcome is 'Incidence of acute rheumatic fever within 2 months. Rheumatic fever defined by clinical diagnosis'. Is this considered a positive or negative health outcome?",Q46,available,empty
47,CD000023,Nelson 1984,Lungs,Symptom of fever on day 3,Antibiotics versus control for the treatment of sore throat: symptom of fever,0.7272578385308578,,"In a medical study on 'Antibiotics versus control for the treatment of sore throat: symptom of fever', the outcome is 'Symptom of fever on day 3'. Is this considered a positive or negative health outcome?",Q47,available,empty
48,CD000024,ARGIS-1 2004,Neurology,Dead or dependent at end of follow up (if > 1 month),Anticoagulant versus control in acute presumed ischaemic stroke,0.9783584774965433,,"In a medical study on 'Anticoagulant versus control in acute presumed ischaemic stroke', the outcome is 'Dead or dependent at end of follow up (if > 1 month)'. Is this considered a positive or negative health outcome?",Q48,available,empty
49,CD000025,Denmark 2000,Pregnancy & Childbirth,Other antihypertensive therapy,Magnesium chloride versus methyl dopa,0.5467072990784849,,"In a medical study on 'Magnesium chloride versus methyl dopa', the outcome is 'Other antihypertensive therapy'. Is this considered a positive or negative health outcome?",Q49,available,empty
50,CD000025,India 2008,Pregnancy & Childbirth,Eclampsia,Magnesium sulphate versus phenytoin,0.4019825918519925,,"In a medical study on 'Magnesium sulphate versus phenytoin', the outcome is 'Eclampsia'. Is this considered a positive or negative health outcome?",Q50,available,empty
51,CD000025,Magpie Trial 2002,Pregnancy & Childbirth,Maternal death,Magnesium sulphate versus none/placebo (subgroups by severity of pre-eclampsia),0.9874884815683986,,"In a medical study on 'Magnesium sulphate versus none/placebo (subgroups by severity of pre-eclampsia)', the outcome is 'Maternal death'. Is this considered a positive or negative health outcome?",Q51,in-progress,empty
52,CD000025,Mexico 1992,Pregnancy & Childbirth,Eclampsia,Magnesium sulphate versus diazepam,0.460306176860807,,"In a medical study on 'Magnesium sulphate versus diazepam', the outcome is 'Eclampsia'. Is this considered a positive or negative health outcome?",Q52,available,empty
53,CD000025,Nimodipine SG 2003,Pregnancy & Childbirth,Eclampsia,Magnesium sulphate versus nimodipine,0.5042384676703036,,"In a medical study on 'Magnesium sulphate versus nimodipine', the outcome is 'Eclampsia'. Is this considered a positive or negative health outcome?",Q53,available,empty
54,CD000026,Benhamou 1991a,Oncology,Death,Antifungals versus placebo or no treatment,0.970606792359696,,"In a medical study on 'Antifungals versus placebo or no treatment', the outcome is 'Death'. Is this considered a positive or negative health outcome?",Q54,available,empty
55,CD000027,Read 1977,Pregnancy & Childbirth,Failure to obtain relief,Antihistamines versus aspirin for itching in late pregnancy,0.9603516187020577,,"In a medical study on 'Antihistamines versus aspirin for itching in late pregnancy', the outcome is 'Failure to obtain relief'. Is this considered a positive or negative health outcome?",Q55,available,empty
56,CD000028,Carter 1970,Heart & Hypertension,Total mortality,Antihypertensive drug therapy vs control in adults 60 years or older,0.8666837790352447,,"In a medical study on 'Antihypertensive drug therapy vs control in adults 60 years or older', the outcome is 'Total mortality'. Is this considered a positive or negative health outcome?",Q56,available,empty
57,CD000029,CAST 1997,Neurology,Death or dependence at end of follow-up,Antiplatelet drug versus control in acute presumed ischaemic stroke,0.9552431346702552,,"In a medical study on 'Antiplatelet drug versus control in acute presumed ischaemic stroke', the outcome is 'Death or dependence at end of follow-up'. Is this considered a positive or negative health outcome?",Q57,available,empty
58,CD000031,Ahluwalia 2002,Psychiatry & Mental Health,Bupropion versus placebo/control. Subgroups by length of follow-up,Bupropion. Abstinence at 6m or greater follow-up,0.9941851261689536,,"In a medical study on 'Bupropion. Abstinence at 6m or greater follow-up', the outcome is 'Bupropion versus placebo/control. Subgroups by length of follow-up'. Is this considered a positive or negative health outcome?",Q58,available,empty
59,CD000031,Berlin 1995,Psychiatry & Mental Health,MAOIs versus placebo,Monoamine oxidase inhibitors (MAOIs) versus placebo. Abstinence at 6m or greater follow-up,0.9941182047856232,,"In a medical study on 'Monoamine oxidase inhibitors (MAOIs) versus placebo. Abstinence at 6m or greater follow-up', the outcome is 'MAOIs versus placebo'. Is this considered a positive or negative health outcome?",Q59,available,empty
60,CD000031,Cinciripini 2005,Psychiatry & Mental Health,Venlafaxine versus placebo,Venlafaxine versus placebo. Abstinence at 6m or greater follow-up,0.9966123812453176,,"In a medical study on 'Venlafaxine versus placebo. Abstinence at 6m or greater follow-up', the outcome is 'Venlafaxine versus placebo'. Is this considered a positive or negative health outcome?",Q60,in-progress,empty
61,CD000031,Covey 2002,Psychiatry & Mental Health,SSRI versus placebo/control,Selective Serotonin Reuptake Inhibitors (SSRIs) versus placebo. Abstinence at 6m or greater follow-up.,0.853375962366426,,"In a medical study on 'Selective Serotonin Reuptake Inhibitors (SSRIs) versus placebo. Abstinence at 6m or greater follow-up.', the outcome is 'SSRI versus placebo/control'. Is this considered a positive or negative health outcome?",Q61,available,empty
62,CD000031,Da Costa 2002,Psychiatry & Mental Health,Nortriptyline versus placebo,Nortriptyline. Abstinence at 6m or greater follow-up,0.9961303590977132,,"In a medical study on 'Nortriptyline. Abstinence at 6m or greater follow-up', the outcome is 'Nortriptyline versus placebo'. Is this considered a positive or negative health outcome?",Q62,available,empty
63,CD000031,Parsons 2009,Psychiatry & Mental Health,St John's wort versus placebo,St John's wort versus placebo. Abstinence at 6m or greater follow-up,0.997397893294162,,"In a medical study on 'St John's wort versus placebo. Abstinence at 6m or greater follow-up', the outcome is 'St John's wort versus placebo'. Is this considered a positive or negative health outcome?",Q63,in-progress,empty
64,CD000031,Sood 2012,Psychiatry & Mental Health,SAMe versus placebo,SAMe versus placebo. Abstinence at 6m or greater follow-up,0.991512825866465,,"In a medical study on 'SAMe versus placebo. Abstinence at 6m or greater follow-up', the outcome is 'SAMe versus placebo'. Is this considered a positive or negative health outcome?",Q64,available,empty
65,CD000032,Ceesay 1997,Pregnancy & Childbirth,Stillbirth,Balanced protein/energy supplementation versus control or no intervention in pregnancy,0.9840411078331724,,"In a medical study on 'Balanced protein/energy supplementation versus control or no intervention in pregnancy', the outcome is 'Stillbirth'. Is this considered a positive or negative health outcome?",Q65,available,empty
66,CD000032,Kafatos 1989,Pregnancy & Childbirth,Stillbirth,Nutritional education during pregnancy versus no nutritional education (or normal care),0.9647780317877952,,"In a medical study on 'Nutritional education during pregnancy versus no nutritional education (or normal care)', the outcome is 'Stillbirth'. Is this considered a positive or negative health outcome?",Q66,available,empty
67,CD000033,Bohn 1989,Emergency & Trauma,Death at the end of follow-up,Barbiturate vs no barbiturate,0.993698973964972,,"In a medical study on 'Barbiturate vs no barbiturate', the outcome is 'Death at the end of follow-up'. Is this considered a positive or negative health outcome?",Q67,in-progress,empty
68,CD000033,Pérez-Bárcena 2008,Emergency & Trauma,Death at the end of follow-up (6 months),Pentobarbital vs Thiopental,0.995660975180434,,"In a medical study on 'Pentobarbital vs Thiopental', the outcome is 'Death at the end of follow-up (6 months)'. Is this considered a positive or negative health outcome?",Q68,available,empty
69,CD000033,Schwartz 1984,Emergency & Trauma,Death at the end of follow-up (1 year),Barbiturate vs Mannitol,0.9940762658300484,,"In a medical study on 'Barbiturate vs Mannitol', the outcome is 'Death at the end of follow-up (1 year)'. Is this considered a positive or negative health outcome?",Q69,available,empty
70,CD000034,Laurin 1987,Pregnancy & Childbirth,Operative delivery for fetal distress,Bed rest in hospital versus ambulatory management,0.9456710329686948,,"In a medical study on 'Bed rest in hospital versus ambulatory management', the outcome is 'Operative delivery for fetal distress'. Is this considered a positive or negative health outcome?",Q70,available,empty
71,CD000035,Kulier 1997,Pregnancy & Childbirth,No improvement in fetal heart rate abnormality,Tocolytics versus no treatment,0.9796650154674672,,"In a medical study on 'Tocolytics versus no treatment', the outcome is 'No improvement in fetal heart rate abnormality'. Is this considered a positive or negative health outcome?",Q71,available,empty
72,CD000035,Magann 1993,Pregnancy & Childbirth,No improvement in fetal heart rate abnormality,Terbutaline versus Magnesium sulphate,0.9808726170941408,,"In a medical study on 'Terbutaline versus Magnesium sulphate', the outcome is 'No improvement in fetal heart rate abnormality'. Is this considered a positive or negative health outcome?",Q72,available,empty
73,CD000036,Cabero 1988,Pregnancy & Childbirth,Low birthweight for gestational age,Ritodrine versus control,0.989001981971122,,"In a medical study on 'Ritodrine versus control', the outcome is 'Low birthweight for gestational age'. Is this considered a positive or negative health outcome?",Q73,available,empty
74,CD000037,Campbell 1978,Pregnancy & Childbirth,Forceps delivery,Prophylactic tocolytics in 2nd stage of labour,0.9478163682892748,,"In a medical study on 'Prophylactic tocolytics in 2nd stage of labour', the outcome is 'Forceps delivery'. Is this considered a positive or negative health outcome?",Q74,available,empty
75,CD000038,Alfirevic 1995,Pregnancy & Childbirth,Perinatal deaths including major malformations,Biophysical profile versus conventional fetal monitoring (CTG),0.95250362510398,,"In a medical study on 'Biophysical profile versus conventional fetal monitoring (CTG)', the outcome is 'Perinatal deaths including major malformations'. Is this considered a positive or negative health outcome?",Q75,available,empty
76,CD000039,Bath 2000,Neurology,"Death or dependency, end of trial by intervention",Blood pressure lowering therapy in acute stroke,0.9840864754669152,,"In a medical study on 'Blood pressure lowering therapy in acute stroke', the outcome is 'Death or dependency, end of trial by intervention'. Is this considered a positive or negative health outcome?",Q76,available,empty
77,CD000039,COSSACS 2010,Neurology,"Death or dependency, end of trial by C/S",Blood pressure altering by continue or stop prestroke antihypertensives (C/S),0.9953801477034024,,"In a medical study on 'Blood pressure altering by continue or stop prestroke antihypertensives (C/S)', the outcome is 'Death or dependency, end of trial by C/S'. Is this considered a positive or negative health outcome?",Q77,available,empty
78,CD000040,USA 1989,Pregnancy & Childbirth,Preterm labour.,Routine transfusion versus selective transfusion.,0.9576028881761368,,"In a medical study on 'Routine transfusion versus selective transfusion.', the outcome is 'Preterm labour.'. Is this considered a positive or negative health outcome?",Q78,available,empty
79,CD000044,Harrison 1979,Gynaecology & Urology,Pregnancy per patient,Bromocriptine vs Placebo,0.510310340517711,,"In a medical study on 'Bromocriptine vs Placebo', the outcome is 'Pregnancy per patient'. Is this considered a positive or negative health outcome?",Q79,available,empty
80,CD000046,Ingelman 1953,Pregnancy & Childbirth,Single injection given before symptoms subsided,Oxytocin versus placebo,0.4540989491452172,,"In a medical study on 'Oxytocin versus placebo', the outcome is 'Single injection given before symptoms subsided'. Is this considered a positive or negative health outcome?",Q80,available,empty
81,CD000046,Kee 1989,Pregnancy & Childbirth,Total Improvement Rating (all outcomes measured by the researcher),Use of Serrapeptase (Danzen) versus placebo,0.8804165464045153,,"In a medical study on 'Use of Serrapeptase (Danzen) versus placebo', the outcome is 'Total Improvement Rating (all outcomes measured by the researcher)'. Is this considered a positive or negative health outcome?",Q81,available,empty
82,CD000046,Murata 1965,Pregnancy & Childbirth,Improvement in symptoms (pain and swelling) measured by researcher,Use of Kimotab (Bromelain and trypsin protease complex) versus placebo,0.9940885170919364,,"In a medical study on 'Use of Kimotab (Bromelain and trypsin protease complex) versus placebo', the outcome is 'Improvement in symptoms (pain and swelling) measured by researcher'. Is this considered a positive or negative health outcome?",Q82,available,empty
83,CD000047,Rabinovici 1987,Pregnancy & Childbirth,Maternal febrile morbidity,Effect of caesarean delivery of the second twin,0.9850244395244314,,"In a medical study on 'Effect of caesarean delivery of the second twin', the outcome is 'Maternal febrile morbidity'. Is this considered a positive or negative health outcome?",Q83,available,empty
84,CD000048,LeBard 1989,Neonatal,Postoperative apnoea/bradycardia,Caffeine vs placebo with induction of general anesthesia,0.975571543437826,,"In a medical study on 'Caffeine vs placebo with induction of general anesthesia', the outcome is 'Postoperative apnoea/bradycardia'. Is this considered a positive or negative health outcome?",Q84,in-progress,empty
85,CD000049,Janssens 1985,Pregnancy & Childbirth,Preterm birth (< 38 weeks),Flunarizine versus no treatment,0.949649470630728,,"In a medical study on 'Flunarizine versus no treatment', the outcome is 'Preterm birth (< 38 weeks)'. Is this considered a positive or negative health outcome?",Q85,available,empty
86,CD000050,Ford-London,Psychiatry & Mental Health,Number lost to follow up,CASE MANAGEMENT vs STANDARD CARE,0.9950821261950972,,"In a medical study on 'CASE MANAGEMENT vs STANDARD CARE', the outcome is 'Number lost to follow up'. Is this considered a positive or negative health outcome?",Q86,available,empty
87,CD000051,Bung 1987,Pregnancy & Childbirth,Non-cephalic births,Cephalic version by postural management,0.9875585822475484,,"In a medical study on 'Cephalic version by postural management', the outcome is 'Non-cephalic births'. Is this considered a positive or negative health outcome?",Q87,available,empty
88,CD000052,Chou 1995,Lungs,Hospital admission,Spacer (chamber) versus nebuliser (multiple-treatment studies),0.975530246089271,,"In a medical study on 'Spacer (chamber) versus nebuliser (multiple-treatment studies)', the outcome is 'Hospital admission'. Is this considered a positive or negative health outcome?",Q88,available,empty
89,CD000052,Ferrés 1989,Lungs,Hospital admission,Spacer (chamber) versus nebuliser (single-treatment studies),0.976973036269592,,"In a medical study on 'Spacer (chamber) versus nebuliser (single-treatment studies)', the outcome is 'Hospital admission'. Is this considered a positive or negative health outcome?",Q89,available,empty
90,CD000053,Abden Abdi 1989 SOM,Infectious Diseases,Parasitological failure,Metrifonate 3 doses 2 weeks apart: 7.5 mg/kg versus 5 mg/kg,0.99287109157665,,"In a medical study on 'Metrifonate 3 doses 2 weeks apart: 7.5 mg/kg versus 5 mg/kg', the outcome is 'Parasitological failure'. Is this considered a positive or negative health outcome?",Q90,available,empty
91,CD000053,Basra 2012 GAB,Infectious Diseases,Parasitological failure at six weeks,Mefloquine versus placebo,0.9908672712417318,,"In a medical study on 'Mefloquine versus placebo', the outcome is 'Parasitological failure at six weeks'. Is this considered a positive or negative health outcome?",Q91,available,empty
92,CD000053,Borrmann 2001 GAB,Infectious Diseases,Parasitological failure,Praziquantel 40 mg/kg single dose versus placebo,0.9603145699095038,,"In a medical study on 'Praziquantel 40 mg/kg single dose versus placebo', the outcome is 'Parasitological failure'. Is this considered a positive or negative health outcome?",Q92,available,empty
